humanratings,mainrel,rstpostprob79,rstpostprob9,subrel,wordpair
"[0.         0.         0.         0.00110299 0.00220598 0.00110299
 0.         0.         0.        ]",2,"[0.03446918 0.01885729 0.00151656 0.39488124 0.08640785 0.44188913
 0.14642485 0.38234486 0.03770083 0.37419711 0.43725886 0.16071608
 0.02804153 0.03011478 0.06862231 0.14788256 0.5867185  0.36416194
 0.6912008  0.23595056 0.51040932 0.12985188 0.34777443 0.46123435
 0.47127601 0.33787395 0.81536354 0.50443558 0.26166798 0.40967653
 0.27194536 0.00300177 0.4745325  0.05199689 0.15411633 0.32835352
 0.52581531 0.00184583 0.42074409 0.01094424 0.0746176  0.19563072
 0.21751734 0.02705016 0.28033915 0.20123598 0.27483587 0.08164259
 0.25781628 0.07777957 0.34844157 0.42605188 0.00527593 0.22027229
 0.39768745 0.24802091 0.09192123 0.44770318 0.16926425 0.55188296
 0.16957879 0.55419588 0.39033665 0.14799395 0.09180661 0.09182109
 0.20665521 0.00633565 0.59941676 0.21736401 0.19448473 0.07357721
 0.03071591 0.51277297 0.21078585 0.12130631 0.28304654 0.10685669
 0.0691196 ]","[0.14788256 0.51040932 0.34777443 0.47127601 0.81536354 0.40967653
 0.09192123 0.44770318 0.55188296]",5,climb:descend
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.05761941 0.00110299]",3,"[2.98385409e-01 2.71193499e-01 2.44653984e-01 4.91214425e-01
 1.75858389e-01 2.49832072e-01 1.81722950e-01 1.00481043e-01
 4.42588829e-03 8.85093551e-02 1.79375869e-01 1.42859120e-01
 3.51133500e-01 2.52593767e-01 5.68141528e-02 1.16081491e-01
 4.00048687e-01 3.04425089e-01 1.65118358e-01 2.38232506e-01
 1.92947057e-01 9.33633803e-02 2.02497648e-01 7.23709022e-02
 1.67549111e-01 5.90355978e-02 1.67866381e-01 3.92055609e-01
 5.65262909e-02 1.33439667e-01 3.32631999e-02 2.95038539e-01
 1.83440095e-01 4.04525266e-02 9.04511165e-02 7.22653410e-01
 5.35879978e-01 4.91919611e-04 2.09330669e-02 2.69143094e-01
 2.35713515e-02 2.92918921e-01 4.99994868e-01 1.45108326e-01
 6.64516910e-01 5.75512284e-01 7.21225030e-02 5.53770721e-01
 2.30532816e-01 1.20551660e-02 2.48479968e-01 1.26954209e-01
 5.30254122e-02 1.47292993e-02 4.18277694e-01 4.21877028e-01
 3.07590850e-01 8.55148588e-01 4.05615647e-01 2.01485168e-01
 5.50046386e-01 2.52542510e-04 3.38736211e-01 4.11587617e-03
 1.56860201e-01 4.03497195e-01 4.72260328e-02 4.42567954e-01
 5.16162931e-01 7.48131778e-02 1.91833846e-01 8.70811324e-02
 3.07951371e-02 1.21157600e-01 1.78650385e-04 4.79119344e-01
 1.58079619e-01 1.47977703e-01 3.39985304e-01]","[0.11608149 0.19294706 0.20249765 0.16754911 0.16786638 0.13343967
 0.30759085 0.85514859 0.20148517]",8,coldness:shiver
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.00110299 0.03820034]",3,"[2.38992550e-01 3.51453952e-01 4.83251929e-01 2.90188541e-01
 1.61015586e-02 1.79953900e-01 1.82157415e-02 7.93489070e-02
 5.21667745e-04 6.61388052e-02 1.16452895e-01 2.44154144e-01
 3.30721267e-01 7.14197403e-02 1.18622927e-01 6.01100739e-01
 3.62133936e-01 1.95559326e-01 6.70984566e-02 5.52205074e-01
 1.37114991e-01 5.00077683e-01 3.28262696e-01 4.72551225e-01
 1.72339869e-01 6.63686841e-02 2.75179966e-01 6.61549105e-02
 1.73036631e-03 2.79590850e-01 9.33009168e-02 3.79462079e-02
 2.26122154e-01 2.30027746e-01 2.07864159e-01 2.10387371e-01
 2.08642211e-01 1.19267034e-01 9.68882083e-03 2.83388670e-01
 1.06607461e-02 1.77027066e-02 3.62852129e-02 4.12929386e-01
 2.87067887e-01 1.92138353e-01 8.85267519e-02 6.10390976e-01
 5.26799604e-01 5.62731908e-01 1.03263820e-01 5.37063002e-01
 9.56436837e-02 1.36610717e-02 1.57018066e-01 5.40720960e-01
 7.58794640e-03 3.74961977e-01 6.86925756e-02 8.68566884e-01
 5.51690544e-01 1.30968672e-02 6.70547758e-01 2.23219582e-02
 1.50458710e-01 5.40945826e-02 3.59865452e-01 1.75030746e-02
 1.01520608e-02 3.11688085e-01 5.48380527e-02 1.84307632e-01
 1.27566451e-01 1.93296605e-02 1.39423266e-02 5.38493158e-02
 2.39390715e-01 1.72076560e-01 3.56995652e-01]","[0.60110074 0.13711499 0.3282627  0.17233987 0.27517997 0.27959085
 0.00758795 0.37496198 0.86856688]",9,cook:eat
"[0.05545927 0.00110299 0.00110299 0.         0.         0.
 0.         0.         0.        ]",1,"[0.48738718 0.13781948 0.18829129 0.5080261  0.16037387 0.63322952
 0.2499146  0.3767446  0.10502222 0.37895014 0.50926232 0.51341604
 0.5142405  0.32224282 0.23304966 0.83669504 0.73171936 0.17589634
 0.13394561 0.54693551 0.7579207  0.74878231 0.38285127 0.68961808
 0.67089868 0.5582741  0.679366   0.48682257 0.27103006 0.71096843
 0.0845381  0.28324583 0.20247097 0.17092482 0.29151343 0.06821254
 0.0668001  0.27353304 0.38661318 0.51753686 0.01785047 0.1842801
 0.02643007 0.63750352 0.05650179 0.12222767 0.06886214 0.58161694
 0.06327215 0.26092055 0.10160411 0.4753173  0.04956105 0.2093945
 0.16049312 0.25977531 0.17182032 0.36296576 0.17643253 0.23208237
 0.19146773 0.05856548 0.24239654 0.02223567 0.32450446 0.3914526
 0.11870123 0.44900106 0.25443662 0.06217196 0.27685305 0.17054373
 0.11795532 0.20934793 0.15593167 0.21955148 0.35430926 0.07380675
 0.23228561]","[0.83669504 0.7579207  0.38285127 0.67089868 0.679366   0.71096843
 0.17182032 0.36296576 0.23208237]",1,couch:sofa
"[0.05545927 0.00110299 0.00110299 0.         0.         0.
 0.         0.         0.        ]",1,"[0.26276421 0.10884802 0.41772888 0.49082228 0.20133161 0.24771671
 0.31000045 0.33702819 0.43615989 0.27885086 0.37918921 0.19993486
 0.2591328  0.0683943  0.28177482 0.83200791 0.68604617 0.57132953
 0.57625853 0.3576971  0.65460439 0.66427541 0.16637576 0.60721356
 0.71433686 0.53727612 0.63254576 0.50722536 0.34470273 0.66723828
 0.05630469 0.38539076 0.25823461 0.03570476 0.06946094 0.03844618
 0.14900222 0.55969498 0.56551037 0.5799691  0.33626156 0.19643146
 0.01832521 0.64028997 0.05457224 0.14105976 0.13309079 0.50898995
 0.03410566 0.35341612 0.04992812 0.28384742 0.011035   0.07975023
 0.35953266 0.24206189 0.10512942 0.42210293 0.02887063 0.50762809
 0.2574531  0.50798006 0.09198147 0.04466341 0.15300927 0.30590103
 0.16954107 0.11504381 0.08769782 0.02052036 0.04721507 0.42578686
 0.29272771 0.33036252 0.53010056 0.2047246  0.25659722 0.1637027
 0.12230457]","[0.83200791 0.65460439 0.16637576 0.71433686 0.63254576 0.66723828
 0.10512942 0.42210293 0.50762809]",1,cute:adorable
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.05761941 0.00110299]",3,"[3.00767566e-01 7.44521795e-01 3.51483920e-01 2.43882382e-01
 3.02521804e-01 4.45558084e-02 5.26582942e-01 1.13872232e-01
 2.46084613e-01 3.52873779e-02 1.46154391e-01 1.44353206e-01
 8.88704523e-02 1.37560542e-01 1.11268707e-01 3.96658622e-02
 3.99050911e-01 7.56478244e-01 2.51711768e-01 2.31694894e-02
 1.79607948e-01 3.38497652e-02 3.88387166e-02 1.01330893e-02
 1.97296624e-01 5.99906959e-01 5.02637344e-01 5.46160250e-01
 4.40566745e-01 1.52545797e-01 1.98564320e-01 7.92039559e-03
 3.45175544e-01 1.61732580e-01 5.83732118e-02 7.53117300e-01
 6.83615208e-01 1.28961885e-02 1.15880126e-03 1.58318296e-01
 6.63877346e-01 2.48607602e-01 3.08227902e-01 2.28896016e-01
 3.48657401e-01 5.91390170e-01 8.07369297e-02 7.45746306e-04
 1.43675677e-02 1.87867830e-01 1.09513175e-01 1.25559424e-02
 1.02014838e-02 5.84602573e-02 2.39501643e-01 1.80750929e-02
 2.32611552e-01 8.60783153e-01 3.75163481e-01 6.34420724e-02
 3.69487153e-01 8.09727986e-02 5.01787246e-01 1.18895873e-01
 5.09834379e-01 1.01461404e-01 3.12839797e-01 1.85158037e-01
 5.40240101e-01 4.53114636e-02 4.69108076e-01 1.25267625e-01
 1.02550994e-01 5.79513732e-01 6.98694177e-03 1.27328131e-01
 2.96993065e-01 1.50979620e-01 1.82918068e-01]","[0.03966586 0.17960795 0.03883872 0.19729662 0.50263734 0.1525458
 0.23261155 0.86078315 0.06344207]",8,danger:flee
"[0.         0.         0.         0.08336435 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[0.30235271 0.05671036 0.50913909 0.24450594 0.13467684 0.28759694
 0.79065326 0.70258354 0.50598758 0.44482934 0.58235715 0.68702008
 0.14699464 0.5571231  0.25817897 0.77835788 0.71136476 0.40231029
 0.3109212  0.68606284 0.75553227 0.7447636  0.80181703 0.67093272
 0.87666436 0.59847474 0.68282388 0.68664263 0.64106948 0.74514842
 0.2444162  0.29361234 0.57118525 0.34094286 0.7406351  0.0547519
 0.79472444 0.16607174 0.32075912 0.30338639 0.52074852 0.51152727
 0.21303284 0.60602966 0.22344774 0.3755421  0.07306678 0.16387581
 0.12624836 0.34701938 0.14501567 0.37196637 0.01751823 0.02453173
 0.52613155 0.45408659 0.42569617 0.20060324 0.45624444 0.46482698
 0.17928523 0.50197357 0.00772632 0.01759846 0.66916555 0.41365724
 0.03442063 0.49808094 0.52706582 0.43758108 0.15775178 0.51071721
 0.10285269 0.36971473 0.06529972 0.19399639 0.66936949 0.10876912
 0.79001072]","[0.77835788 0.75553227 0.80181703 0.87666436 0.68282388 0.74514842
 0.42569617 0.20060324 0.46482698]",4,dark:light
"[0.00110299 0.00110299 0.09546539 0.         0.         0.
 0.         0.         0.        ]",1,"[3.45837591e-03 7.27092568e-02 9.79215588e-04 2.21905861e-01
 2.04737667e-01 2.84434164e-01 2.18022334e-01 6.84098774e-01
 2.44970932e-01 4.90609922e-01 4.64474086e-01 5.18300668e-01
 3.09156047e-01 4.01281647e-01 2.91844469e-01 6.10858615e-01
 2.69361345e-01 3.36805593e-01 1.57186772e-01 2.05245816e-01
 3.17250188e-01 4.86819678e-01 8.65127171e-01 8.09084464e-02
 5.78756220e-01 6.67060490e-01 5.59791552e-01 5.37654211e-01
 3.73469134e-01 4.49338003e-01 6.88640493e-01 1.02026706e-01
 2.94759300e-01 5.59684334e-01 1.82580153e-01 4.30634634e-04
 7.91725724e-03 5.50590671e-01 5.17233692e-01 4.86698969e-01
 5.68401480e-01 3.66089321e-01 6.05495077e-01 1.60182718e-01
 1.63775269e-01 1.31555182e-01 4.86576368e-01 4.99126823e-01
 4.84599166e-01 3.29671776e-01 2.44740536e-01 5.61229946e-01
 5.90116585e-01 2.86459595e-01 5.06198530e-01 2.49442180e-01
 1.78301437e-01 1.55082846e-01 5.93348681e-01 6.61601971e-01
 3.44716156e-01 5.24265796e-01 1.20393517e-02 1.94688794e-01
 3.85618365e-01 5.45122319e-01 3.16481817e-01 4.26307684e-01
 4.45314959e-01 5.22663611e-01 1.13970597e-01 5.77567124e-01
 5.70030345e-01 6.81497099e-01 5.36841247e-01 2.32120481e-01
 5.56292150e-01 2.22698411e-02 2.04123683e-01]","[0.61085862 0.31725019 0.86512717 0.57875622 0.55979155 0.449338
 0.17830144 0.15508285 0.66160197]",3,darken:color
"[0.         0.         0.         0.00110299 0.00110299 0.10914928
 0.         0.         0.        ]",2,"[8.54509866e-02 6.60087679e-02 1.04822626e-01 3.19081402e-02
 5.73725391e-02 7.65034793e-02 1.50644660e-02 1.05276232e-01
 6.83168245e-03 1.98985291e-02 1.11097023e-01 1.48338774e-02
 1.75841133e-01 8.14216926e-02 4.81353563e-02 1.75175648e-01
 2.15414604e-01 1.50312357e-01 1.55159064e-01 7.95673133e-02
 7.31928456e-02 1.57541745e-01 1.93422846e-02 7.87011133e-01
 6.77852984e-01 4.93457175e-01 6.56756100e-01 2.95091401e-01
 1.31164110e-01 8.46522180e-01 8.95143799e-02 2.23994661e-02
 2.59836777e-02 8.19115203e-02 2.92119333e-02 6.20647124e-02
 8.76424534e-02 8.18949108e-02 1.23431442e-01 1.02457938e-01
 4.60610048e-05 5.25287193e-03 3.77613507e-05 7.44250049e-02
 2.42916095e-03 2.49039491e-03 5.16479921e-02 9.43731624e-02
 1.88692156e-02 4.10557543e-02 5.48158487e-02 8.96921033e-02
 3.27320401e-03 1.08646242e-01 7.82562992e-03 9.07058054e-03
 9.98740495e-03 4.00139896e-02 4.89957982e-02 2.12819892e-02
 7.58084732e-02 7.38388852e-02 1.53818386e-01 3.73017212e-03
 6.59318616e-02 8.01474366e-03 9.38725671e-02 5.45873449e-03
 2.86943777e-03 1.31132338e-01 4.65549070e-03 7.10790067e-02
 6.33568137e-02 2.15618049e-02 4.57501487e-02 1.06291812e-01
 6.40509654e-02 1.47637865e-02 5.69086764e-03]","[0.17517565 0.07319285 0.01934228 0.67785298 0.6567561  0.84652218
 0.0099874  0.04001399 0.02128199]",6,day:evening
"[0.00110299 0.00110299 0.01735734 0.         0.         0.
 0.         0.         0.        ]",1,"[1.52622354e-01 9.38730555e-03 3.60825973e-02 2.26299585e-01
 4.00621405e-02 4.19885612e-01 1.92789832e-02 6.07374125e-01
 3.86872077e-01 7.02896223e-01 2.25157205e-01 1.28627113e-01
 5.92022222e-01 2.39817044e-02 5.21750672e-01 2.28853976e-02
 6.19638703e-03 8.75605108e-02 9.77966123e-02 7.42219486e-02
 6.71883727e-03 8.53471167e-02 8.46744166e-01 2.08121544e-03
 9.29878336e-02 1.06754542e-02 8.60385403e-02 2.99851050e-03
 2.11200675e-01 1.52261474e-02 1.80107687e-01 4.29721687e-01
 1.87724542e-01 3.78771205e-01 5.64796518e-01 3.35020587e-01
 1.44797416e-01 6.48919576e-02 5.84341708e-01 1.33785190e-01
 3.50670371e-01 2.72234384e-01 6.51585858e-01 5.72628588e-02
 5.15805222e-01 3.41044648e-01 1.73869217e-01 3.54955897e-02
 1.63858932e-01 2.47512398e-01 1.04455101e-01 3.79578552e-01
 5.15198654e-01 2.42952840e-01 5.65988405e-01 8.16188559e-02
 1.08892716e-01 3.27427788e-01 2.37294542e-02 1.42329249e-01
 1.19414519e-02 5.73343766e-02 1.30383683e-01 6.50621685e-02
 1.36668555e-01 1.32757761e-01 1.10917698e-01 1.02812533e-03
 6.22450840e-01 1.67853233e-01 1.55696478e-01 7.30435515e-01
 6.53513328e-04 2.21307096e-01 1.50140011e-01 1.97111679e-02
 2.45738607e-02 6.38563050e-03 1.88776488e-01]","[0.0228854  0.00671884 0.84674417 0.09298783 0.08603854 0.01522615
 0.10889272 0.32742779 0.14232925]",3,death:population
"[0.         0.         0.         0.06010421 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[0.13161322 0.26653976 0.3123952  0.28405465 0.60555063 0.43638436
 0.14039669 0.62084988 0.07739053 0.16551463 0.58716054 0.21806624
 0.16971018 0.15914026 0.11234332 0.62679324 0.7492579  0.21838818
 0.62888859 0.29146718 0.47298588 0.4617364  0.54785432 0.62365567
 0.83858666 0.59619457 0.37352705 0.60241986 0.60008583 0.62162589
 0.15349261 0.4115211  0.34188643 0.05268003 0.20691855 0.03923574
 0.40944838 0.53964352 0.12753229 0.01516658 0.05029835 0.28990498
 0.01678761 0.28972334 0.08053736 0.24554316 0.11093315 0.33677168
 0.11501186 0.10475867 0.20674327 0.07872878 0.05995256 0.27792837
 0.12557304 0.07810026 0.01393042 0.40244673 0.20494659 0.41191436
 0.10121136 0.06957855 0.10534989 0.05447605 0.060263   0.38710792
 0.0665832  0.0574949  0.00468771 0.52493623 0.02333778 0.29991145
 0.12623449 0.06893752 0.09673544 0.088373   0.08814724 0.08460905
 0.26200695]","[0.62679324 0.47298588 0.54785432 0.83858666 0.37352705 0.62162589
 0.01393042 0.40244673 0.41191436]",4,difficult:easy
"[0.00110299 0.00110299 0.10414407 0.         0.         0.
 0.         0.         0.        ]",1,"[0.1871973  0.09233351 0.16716337 0.10949168 0.23479856 0.08847888
 0.58871075 0.6398977  0.42317743 0.24672085 0.21864449 0.47675218
 0.25473273 0.56480621 0.20823254 0.63756319 0.73481472 0.24658916
 0.11271928 0.63554666 0.70578235 0.75754381 0.8829901  0.48314138
 0.79756306 0.47815281 0.6712147  0.56504583 0.62887687 0.66533931
 0.27871709 0.09096502 0.71784364 0.32256153 0.70839848 0.02157946
 0.71264965 0.08445962 0.09818201 0.15622594 0.51254001 0.58684853
 0.44590654 0.48568311 0.24129686 0.411453   0.19706066 0.53720877
 0.43403954 0.34691663 0.20220251 0.11604952 0.06932869 0.04225204
 0.55023063 0.23386583 0.21306945 0.26587827 0.34899628 0.58802752
 0.06962013 0.29241732 0.14629352 0.02796586 0.40794772 0.50885133
 0.04498228 0.16995929 0.41941595 0.62951399 0.31769795 0.37887296
 0.33185606 0.3994609  0.1844006  0.15543279 0.33789621 0.22231981
 0.39066093]","[0.63756319 0.70578235 0.8829901  0.79756306 0.6712147  0.66533931
 0.21306945 0.26587827 0.58802752]",3,dim:light
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.04245641 0.00110299]",3,"[4.22851016e-01 6.39876334e-01 3.64319897e-01 3.62287465e-02
 5.73102476e-02 2.22947639e-01 2.00876586e-01 6.29892516e-02
 4.58357431e-02 5.30254620e-01 1.14253208e-01 7.66158014e-02
 1.24082896e-02 3.91538383e-01 4.50900971e-02 4.38837078e-01
 2.04954439e-01 3.60998831e-01 4.95837367e-01 3.23297064e-02
 5.83096985e-01 2.53079671e-01 4.38227463e-01 1.46522183e-01
 4.21278284e-01 4.12118852e-01 3.50219020e-01 3.37352258e-01
 5.70772572e-01 5.31672938e-01 3.63414653e-01 1.22425194e-02
 2.57926471e-01 1.02288713e-02 2.16597580e-01 4.83697375e-01
 6.64597420e-01 4.04472198e-02 2.86921446e-04 7.13879321e-02
 4.71364514e-01 4.56829084e-01 5.65677505e-01 1.17390926e-01
 5.15332164e-01 7.30550298e-01 1.45957022e-01 1.82385196e-04
 2.37334636e-02 3.04141833e-02 1.84722275e-01 2.73307818e-03
 7.24039869e-03 3.80091563e-01 5.24435917e-01 1.79444888e-01
 4.73839086e-01 9.05077359e-01 5.40926772e-01 2.92158585e-03
 1.48072879e-01 7.65577933e-02 4.96079114e-01 6.75210674e-02
 1.47721907e-01 5.28087510e-01 3.01270832e-01 6.72466413e-02
 6.07091402e-01 4.45160235e-02 6.04388574e-01 1.01980525e-01
 6.06933049e-02 4.46987673e-01 2.84735586e-02 3.66688340e-01
 1.45522856e-01 5.37152858e-02 5.83772647e-01]","[0.43883708 0.58309699 0.43822746 0.42127828 0.35021902 0.53167294
 0.47383909 0.90507736 0.00292159]",8,dirtiness:bathe
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.00894617 0.00110299]",3,"[0.39407019 0.59086503 0.27888534 0.04139565 0.02446256 0.54795581
 0.13167312 0.16193393 0.26852931 0.65756297 0.13020826 0.16982503
 0.06885863 0.33872592 0.09319226 0.65682317 0.32148938 0.53758054
 0.423634   0.26475167 0.74232457 0.41816312 0.63804594 0.21581345
 0.63517561 0.58719351 0.34319468 0.59466045 0.63317872 0.50294117
 0.45979327 0.05889475 0.52198925 0.19389607 0.70850753 0.36168441
 0.70088121 0.00389088 0.00577094 0.26493404 0.42745344 0.47522409
 0.36382205 0.05869003 0.37231291 0.75929104 0.17957403 0.04801062
 0.0335026  0.12248536 0.13599552 0.11684569 0.00487118 0.350704
 0.56245207 0.07382073 0.46796635 0.88862953 0.4627819  0.10458966
 0.09728154 0.47857077 0.61526795 0.18022305 0.09276374 0.31287468
 0.25045077 0.05019638 0.68889449 0.19882601 0.27646971 0.08267556
 0.02695373 0.66893965 0.25707827 0.51035252 0.24397562 0.11886641
 0.66958801]","[0.65682317 0.74232457 0.63804594 0.63517561 0.34319468 0.50294117
 0.46796635 0.88862953 0.10458966]",8,dirty:bathe
"[0.         0.         0.         0.03386677 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[0.0812974  0.50700987 0.44442167 0.3210629  0.56133008 0.30987252
 0.13191175 0.41859452 0.14347214 0.45648867 0.06941161 0.51527131
 0.0811222  0.32888451 0.30591983 0.65646809 0.65003262 0.17268962
 0.01434715 0.54941455 0.6370201  0.54695717 0.3812715  0.39869271
 0.8431176  0.82542529 0.692702   0.66167021 0.63940934 0.7
 0.27977894 0.27281766 0.79289136 0.35009983 0.61749993 0.13508909
 0.63622342 0.55635163 0.05575414 0.85638853 0.0292435  0.41123874
 0.03378979 0.25320611 0.16622138 0.57934159 0.06412648 0.81773627
 0.04127924 0.39082784 0.23104678 0.29167247 0.02025282 0.10249138
 0.48657996 0.04920841 0.22693411 0.74916471 0.13785314 0.69504764
 0.15389914 0.23839195 0.29631624 0.00531648 0.22490948 0.21111763
 0.02315241 0.33561414 0.33361007 0.17859351 0.12754032 0.34454157
 0.08830874 0.34359792 0.23609688 0.56174318 0.11498784 0.14705542
 0.70904606]","[0.65646809 0.6370201  0.3812715  0.8431176  0.692702   0.7
 0.22693411 0.74916471 0.69504764]",4,dirty:clean
"[0.00110299 0.00110299 0.14753743 0.         0.         0.
 0.         0.         0.        ]",1,"[0.35467898 0.5269515  0.64593584 0.48001851 0.33098983 0.06547724
 0.60528063 0.46758481 0.21788562 0.4559654  0.10877911 0.43055009
 0.15062999 0.40835251 0.05097644 0.5863593  0.4692097  0.35659799
 0.12153478 0.21984164 0.17207744 0.55235921 0.52257708 0.11511921
 0.39554039 0.44244465 0.57575146 0.13780621 0.13709911 0.54429093
 0.32966465 0.29641963 0.09833718 0.4271173  0.22997538 0.01030405
 0.09889876 0.06981149 0.39133381 0.18611278 0.24659908 0.05213932
 0.11639471 0.48437601 0.01636714 0.11187383 0.13086565 0.23324461
 0.03120933 0.25961464 0.05189778 0.0245423  0.2551692  0.44048439
 0.01612133 0.06792867 0.11576261 0.18712223 0.09276276 0.50678163
 0.02547693 0.15872112 0.07494148 0.44780111 0.42849684 0.06514392
 0.14434532 0.49905993 0.47787644 0.4414485  0.44520737 0.36633472
 0.18183188 0.44087502 0.28038489 0.46695264 0.30570376 0.1258334
 0.24934454]","[0.5863593  0.17207744 0.52257708 0.39554039 0.57575146 0.54429093
 0.11576261 0.18712223 0.50678163]",3,discount:price
"[0.         0.         0.         0.         0.         0.
 0.08948546 0.00110299 0.00110299]",3,"[0.31675281 0.19885207 0.65539037 0.1103844  0.24464043 0.5362579
 0.13725999 0.02313536 0.18779641 0.08377937 0.38500422 0.01751091
 0.29155581 0.1025818  0.3817065  0.65982486 0.17306006 0.10715207
 0.57951789 0.63513829 0.6697011  0.56008549 0.29231091 0.36024557
 0.44007709 0.31207453 0.44516167 0.29991757 0.53337806 0.40003279
 0.27014121 0.67544714 0.17121047 0.40798926 0.47097195 0.37092382
 0.3623968  0.25159012 0.28075904 0.03211068 0.47817777 0.59519829
 0.21711951 0.49269451 0.08354194 0.10502932 0.20069418 0.07786145
 0.0145658  0.08495379 0.02450766 0.09263971 0.20097474 0.30493061
 0.3051729  0.0562752  0.86168586 0.04126774 0.34876849 0.02041884
 0.16132757 0.62609679 0.29482156 0.38748662 0.05547321 0.23767676
 0.41070668 0.01454317 0.26121029 0.60314266 0.27710884 0.43452277
 0.02173651 0.11290417 0.49303433 0.06737522 0.04635356 0.08146898
 0.0370832 ]","[0.65982486 0.6697011  0.29231091 0.44007709 0.44516167 0.40003279
 0.86168586 0.04126774 0.02041884]",7,disease:sickness
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.00110299 0.09337861]",3,"[0.26101683 0.11069317 0.37467963 0.46949237 0.22367989 0.58998674
 0.14324443 0.30059585 0.27856577 0.00568721 0.66568446 0.59686686
 0.0424397  0.4196586  0.60635051 0.37019628 0.23657371 0.11516231
 0.23208986 0.14902546 0.67217544 0.37901192 0.31698711 0.43217682
 0.55667708 0.3560964  0.40378121 0.32190766 0.55380673 0.60553395
 0.13252895 0.67830207 0.61320383 0.16090959 0.2175925  0.64040273
 0.29935262 0.54814207 0.12827144 0.47308957 0.27743429 0.46326343
 0.67925973 0.39301079 0.41532306 0.60778875 0.22681477 0.00700627
 0.12358152 0.1701817  0.34826441 0.13728376 0.09106933 0.20036682
 0.55360012 0.30120428 0.59890326 0.28314639 0.08903924 0.82339303
 0.29261727 0.67538134 0.63767868 0.55615988 0.03821001 0.13203457
 0.35840487 0.10964248 0.49042406 0.13022852 0.56408635 0.24079516
 0.34690294 0.57894627 0.12000531 0.4645856  0.14871095 0.00278855
 0.55775437]","[0.37019628 0.67217544 0.31698711 0.55667708 0.40378121 0.60553395
 0.59890326 0.28314639 0.82339303]",9,drink:hydrate
"[0.         0.         0.         0.00110299 0.09720116 0.00110299
 0.         0.         0.        ]",2,"[4.24114533e-01 3.05651638e-01 4.30431775e-01 5.03190350e-01
 2.71762700e-01 4.91781127e-01 3.54425918e-01 5.40360304e-01
 2.00961720e-01 1.88278970e-01 5.96988881e-01 5.58814628e-01
 5.89391754e-01 1.27323351e-01 2.31862877e-01 7.99350844e-01
 8.08401454e-01 3.72832148e-01 2.44945056e-01 7.17889495e-01
 6.79721699e-01 7.95648216e-01 4.19969696e-01 7.55683629e-01
 7.26734651e-01 5.07068884e-01 8.00081438e-01 3.66677019e-01
 3.09865518e-01 7.37764350e-01 2.58275982e-02 3.24221233e-01
 3.67454164e-01 1.52632134e-01 2.23037548e-01 3.12353350e-01
 4.07989373e-01 1.15630403e-01 3.25207264e-01 5.26515348e-01
 1.98231676e-03 2.65852931e-01 7.55076641e-06 6.98193852e-01
 4.03399459e-03 1.99476993e-02 2.29877123e-02 6.78933673e-01
 1.11829753e-01 1.80720866e-01 6.80458604e-02 1.70899890e-01
 6.02853842e-03 1.22590684e-01 7.32430653e-02 7.62291785e-02
 1.11478661e-02 7.04859788e-02 1.66212839e-02 2.30458062e-01
 6.89321685e-02 6.83280993e-02 1.17629233e-01 1.81445916e-02
 3.17482685e-01 1.08839574e-01 1.78956885e-01 2.73364156e-01
 1.84329408e-02 1.17101668e-01 1.51928896e-02 4.67081326e-01
 9.46868568e-02 8.86156585e-02 5.96342289e-02 1.08963531e-01
 3.59668557e-01 1.75568543e-01 4.57507773e-02]","[0.79935084 0.6797217  0.4199697  0.72673465 0.80008144 0.73776435
 0.01114787 0.07048598 0.23045806]",5,east:west
